date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:32	289678/289678	---M-Z	200	added ('OK')	text/html	etag:W/%22c307345484cea980ef681c9521613622--gzip%22	https://reed-chicory-2fpn.squarespace.com/	D:/IEC/Web%20stuff/IEC%20site%20draft/reed-chicory-2fpn.squarespace.com/index.html	(from )
12:39:32	339/339	---M-Z	200	added ('OK')	text/plain	date:Thu,%2003%20Mar%202022%2018:39:31%20GMT	https://reed-chicory-2fpn.squarespace.com/robots.txt		(from )
12:39:32	0/0	---M--	301	error ('Moved%20Permanently')	image/png	etag:W/%22c41bc6c00aab151c33db3df55577b6c2%22	http://static1.squarespace.com/static/618c27607b5c9c3d625a6332/t/618c27db7b5c9c3d625a7b9c/1609799006329/Midwest_CMYK+Coated+copy_katy.png?format=1500w	D:/IEC/Web%20stuff/IEC%20site%20draft/static1.squarespace.com/static/618c27607b5c9c3d625a6332/t/618c27db7b5c9c3d625a7b9c/1609799006329/Midwest_CMYK+Coated+copy_katy.026f7.delayed	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:34	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:34	19472/19472	---M--	200	added ('OK')	image/png	etag:COr16M6og+4CEAE=	https://images.squarespace-cdn.com/content/5fc680c6d26ff1194f9a8901/1609799004271-VB342LP2JIGLB73ZIEMV/Midwest_CMYK+Coated+copy_katy.png?content-type=image%2Fpng	D:/IEC/Web%20stuff/IEC%20site%20draft/images.squarespace-cdn.com/content/5fc680c6d26ff1194f9a8901/1609799004271-VB342LP2JIGLB73ZIEMV/Midwest_CMYK+Coated+copy_katy5d45.png	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:34	18031/18031	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2003%20Mar%202022%2018:39:32%20GMT	http://use.typekit.net/ik/dqR0XbAs2LjWI8EbJgesUxWJeV30syT3kXt_snqXYgGfe0C2fFHN4UJLFRbh52jhWDjU5ewkFDj3FhJujD8RwhbhwRmyFRwDwynnMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0Scm8ZfuR-e8Rda4oOQ4cSet0SaBujW48Sagyjh90jhNlOfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUCdhFydeyzSabCScm8ZfuR-e8Rda4oOQ4cSet0SaBujW48Sagyjh90jhNlOYFUiABkZWF3jAF8ShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1Oco8ifUaiaS0jWw0dA9CiaiaO148ZAbljhyTjhNkpPXkZ1g0O1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJFjAlX-WjlZa4ziemD-kG4fFglIMMjgfMfH6qJucXbMg6BJMJ7fbRPdsMMeMS6MKG4fFBlIMMj2KMfH6qJuhXbMg6VJMJ7fbRQdsMMegI6MTMgaSr3RMj.js	D:/IEC/Web%20stuff/IEC%20site%20draft/use.typekit.net/ik/dqR0XbAs2LjWI8EbJgesUxWJeV30syT3kXt_snqXYgGfe0C2fFHN4UJLFRbh52jhWDjU5ewkFDj3FhJujD8RwhbhwRmyFRwDwynnMKG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0Scm8ZfuR-	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:34	182/182	---M-Z	200	added ('OK')	text/javascript	etag:%222db53122f2022d3224e22b1a7ab945b2%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-13ea7a8552a69cc61c748-min.en-US.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-13ea7a8552a69cc61c748-min.en-US.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:35	29114/29114	---M-Z	200	added ('OK')	text/javascript	etag:%22a9c77e18e40ae4f30b6235092ef1b91b%22	http://assets.squarespace.com/universal/scripts-compressed/style-loader-runtime-f4be68d7683966c4ea22c-min.en-US.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/universal/scripts-compressed/style-loader-runtime-f4be68d7683966c4ea22c-min.en-US.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:37	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:39	120719/120719	---M-Z	200	added ('OK')	text/javascript	etag:%22cd04552e2495b1d61fa2e6b9cdee7f9c%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-d3d137c2757e894533d46-min.en-US.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-d3d137c2757e894533d46-min.en-US.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:50	242873/242873	---M-Z	200	added ('OK')	text/javascript	etag:%221553c6e0da98ac8e666aac0ea1fb7d08%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-58a278523853fad76d822-min.en-US.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-58a278523853fad76d822-min.en-US.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:51	478617/478617	---M-Z	200	added ('OK')	text/javascript	etag:%22b055278ffe6cae60b608dd88d1372ef7%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-69a1973260902ba7c9d1d-min.en-US.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-69a1973260902ba7c9d1d-min.en-US.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:51	478631/478631	---M-Z	200	added ('OK')	text/javascript	etag:%22a677503ccbfb46e4910fd219200cd87a%22	http://assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-9eb6dec99333d7ad8a9d3-min.en-US.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-9eb6dec99333d7ad8a9d3-min.en-US.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:55	907457/907457	---M-Z	200	added ('OK')	text/css	date:Thu,%2003%20Mar%202022%2018:39:50%20GMT	https://static1.squarespace.com/static/versioned-site-css/618c27607b5c9c3d625a6332/3/5c5a519771c10ba3470d8101/618c27617b5c9c3d625a633f/1193/site.css	D:/IEC/Web%20stuff/IEC%20site%20draft/static1.squarespace.com/static/versioned-site-css/618c27607b5c9c3d625a6332/3/5c5a519771c10ba3470d8101/618c27617b5c9c3d625a633f/1193/site.css	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:56	46829/46829	---M-Z	200	added ('OK')	text/javascript	etag:%22889832e94eac6640c04cd6af49b057dc%22	http://assets.squarespace.com/universal/scripts-compressed/performance-a352d2bb01b07a1e65146-min.en-US.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/universal/scripts-compressed/performance-a352d2bb01b07a1e65146-min.en-US.js	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:59	181016/181016	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Mar%202022%2018:39:55%20GMT	https://reed-chicory-2fpn.squarespace.com/cart	D:/IEC/Web%20stuff/IEC%20site%20draft/reed-chicory-2fpn.squarespace.com/cart.html	(from https://reed-chicory-2fpn.squarespace.com/)
12:39:59	19472/19472	---M--	200	added ('OK')	image/png	etag:COr16M6og+4CEAE=	http://images.squarespace-cdn.com/content/v1/5fc680c6d26ff1194f9a8901/1609799004271-VB342LP2JIGLB73ZIEMV/Midwest_CMYK+Coated+copy_katy.png?format=1500w	D:/IEC/Web%20stuff/IEC%20site%20draft/images.squarespace-cdn.com/content/v1/5fc680c6d26ff1194f9a8901/1609799004271-VB342LP2JIGLB73ZIEMV/Midwest_CMYK+Coated+copy_katy26f7.png	(from https://reed-chicory-2fpn.squarespace.com/)
12:40:05	0/0	---M--	302	error ('Found')	text/html	etag:W/%22e6bf642183b3e4cdf6f7935cf85cfd23%22	https://reed-chicory-2fpn.squarespace.com/individual-engagement-committee-1	D:/IEC/Web%20stuff/IEC%20site%20draft/reed-chicory-2fpn.squarespace.com/individual-engagement-committee-1.11.delayed	(from https://reed-chicory-2fpn.squarespace.com/)
12:40:05	575775/575775	---M-Z	200	added ('OK')	text/javascript	etag:%228a07ef42461ec78a800fcd1c0a83e8d8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-d67724443896661f321e1-min.en-US.js	D:/IEC/Web%20stuff/IEC%20site%20draft/assets.squarespace.com/universal/scripts-compressed/common-vendors-d67724443896661f321e1-min.en-US.js	(from https://reed-chicory-2fpn.squarespace.com/)
